oznitelik,min,q05,median,mean,q95,max,std
smcAC_rms,0.9219626455077008,1.0266271948549577,1.852396337409016,1.9792692792032296,3.2698637000079844,4.190082811262052,0.7073362158128187
smcAC_std,0.903803834994251,1.0117431152242653,1.84600992504375,1.9718307742847232,3.2667364258360214,4.187814003168719,0.7105837183862177
smcAC_peak,1.9873046875,2.26123046875,3.75,3.8745285560344827,5.951171874999998,6.9677734375,1.1471444812836424
smcAC_p2p,3.642578125,4.19775390625,7.09716796875,7.419063173491379,11.495117187499996,13.7451171875,2.332489111625411
smcAC_skew,-0.0368556017188433,-0.019118491016073637,-0.0091067962437966,-0.008943072213311143,-0.0017532223471044088,0.0501588772466471,0.008264162431769686
smcAC_kurtosis,-1.4779037847943648,-1.4536709511546442,-1.405585934207112,-1.3921625911335955,-1.288018287773705,-1.2377667102855805,0.050028598184760846
smcAC_abs_mean,0.8032481553819445,0.900784939236111,1.649446072048611,1.7566072759518676,2.9179667968749996,3.756167534722222,0.6364799091959488
smcDC_rms,3.587953427939011,4.023295942096959,7.330052222643675,7.360661603734492,9.9951171875,9.9951171875,2.0666743266606162
smcDC_std,0.0,0.0,0.1912305723696155,0.23746556554903372,0.5424054076358014,1.9070332302281732,0.2384147663198284
smcDC_peak,3.857421875,4.3671875,7.8173828125,7.715921336206897,9.9951171875,9.9951171875,2.016086258543534
smcDC_p2p,0.0,0.0,1.0205078125,1.1826171875,2.4960937499999996,8.1982421875,1.0575168789437657
smcDC_skew,-11.386673323079776,-1.9753882795173288,-0.8404587870487341,-0.8641584712975979,0.0,0.4819013458428778,1.1855493148946488
smcDC_kurtosis,-1.233294490902513,-0.9495895332510416,0.2973194322806436,1.8150578370207568,3.4990065893019198,141.6951954008448,11.96891500909756
smcDC_abs_mean,3.586495225694444,4.021483506944445,7.329483506944444,7.353194032866379,9.9951171875,9.9951171875,2.065952437286124
vib_table_rms,0.3220242032069749,0.55646076751856,0.957552047506786,0.989776469855808,1.702332192878173,2.335405539078622,0.3432448719990423
vib_table_std,0.0355819366977414,0.07585805802011421,0.1676277582165344,0.18087700800055587,0.3497001965142352,0.5711591397221574,0.09078560371167681
vib_table_peak,0.45654296875,0.79345703125,1.56494140625,1.5920831088362069,2.541503906249999,2.861328125,0.5278947489612739
vib_table_p2p,0.2294921875,0.46240234375,1.03759765625,1.0624663254310345,1.818359375,2.32177734375,0.4347400106504063
vib_table_skew,-1.1927930030182758,-0.8099149384372455,0.0377543021880377,0.06937208653820798,1.0948863052711497,2.6329396585094265,0.5561188402104436
vib_table_kurtosis,-1.3875404361103143,-0.973119782971427,-0.113815862448285,0.1455166925977943,2.0680717849415133,9.271162449599023,1.3138259959129128
vib_table_abs_mean,0.3190858289930555,0.5511885850694445,0.9313259548611112,0.9705585076927681,1.685172417534721,2.3241487630208333,0.33847687125864223
vib_spindle_rms,0.2355412936810227,0.2638125006391297,0.2905829231675753,0.3121884031580839,0.4431347397682952,0.6522634668751496,0.06957562189662812
vib_spindle_std,0.0085849787029411,0.00952374606514522,0.0129018834902237,0.01682424192807148,0.03506413040849104,0.0900350313086941,0.011805770203652654
vib_spindle_peak,0.26123046875,0.31982421875,0.3759765625,0.4585886988146552,0.8649902343749999,2.191162109375,0.24976221350831204
vib_spindle_p2p,0.047607421875,0.0830078125,0.123291015625,0.19492524245689655,0.6213378906249998,1.953125,0.2435716018068629
vib_spindle_skew,-0.7833712423540135,-0.17818653853563465,0.7512777180257022,2.132258153432606,14.107257476068112,34.64667739070315,5.604623057012305
vib_spindle_kurtosis,-1.0397704406129404,-0.337307741020635,1.235497900717463,56.748335510883166,357.2884098864968,1674.6511802382922,241.44397254495013
vib_spindle_abs_mean,0.2353762478298611,0.26357845052083334,0.2896329752604166,0.3116133373742816,0.44199197048611105,0.6475363498263889,0.06912010107089361
AE_table_rms,0.0186437799079584,0.1248833985570389,0.1997198507499838,0.21030839067575557,0.33334059214312783,0.3929235963726102,0.06533804885366075
AE_table_std,0.0005512710102571,0.0138778039116631,0.0288608370365365,0.03064744979079316,0.054875796725213755,0.0911641517165246,0.014175933864226383
AE_table_peak,0.02197265625,0.1968994140625,0.341796875,0.3502197265625,0.5469970703124999,0.731201171875,0.11895840855833795
AE_table_p2p,0.00732421875,0.100830078125,0.20751953125,0.21848060344827586,0.37463378906249983,0.595703125,0.09314937370964911
AE_table_skew,-1.8088258994169024,0.14074396501689404,0.516356456979499,0.5935124106839945,1.470002617398448,2.610450811555784,0.5249523089409706
AE_table_kurtosis,-1.735632267127996,-0.2569866571981281,0.3918455776370866,0.9833687575942863,3.8987547298700336,11.77736997720054,1.9261511589999616
AE_table_abs_mean,0.0186329481336805,0.12412974717881939,0.1971255154079861,0.20779863262541903,0.32937323676215274,0.38906494140625,0.06464479305736173
AE_spindle_rms,0.1278222724279268,0.15399079585142214,0.2383233913824455,0.26118549283002745,0.4314044602931594,0.5640026305559488,0.08442429566212567
AE_spindle_std,0.0118929243302455,0.01646910187694896,0.0386186135852305,0.042070272129916035,0.07527512525388294,0.2070958329603617,0.025400653078662183
AE_spindle_peak,0.179443359375,0.253173828125,0.4217529296875,0.4590685614224138,0.76220703125,1.2493896484375,0.17786967394352404
AE_spindle_p2p,0.08544921875,0.1297607421875,0.26611328125,0.29478296740301724,0.5399169921874998,1.0467529296875,0.14664198105383394
AE_spindle_skew,-0.0757673741492833,0.18302869393429677,0.6369565908586177,0.8200168737103831,2.0934435294820024,3.586043154960847,0.5836525188648678
AE_spindle_kurtosis,-0.8500870952735928,-0.32533662375763256,0.568090242148068,1.2876217512415034,5.5458864628906115,16.225850364886554,2.196714051632551
AE_spindle_abs_mean,0.1272677951388889,0.15328887261284718,0.2349622938368055,0.25730000767031846,0.4212613118489583,0.5271560329861111,0.08202821142194489
smcAC_order_total,0.824543624096234,1.0560740867677703,3.432246144435976,4.457317408342791,10.688208970287116,17.70494316422093,3.2115109681104914
smcAC_order_1,0.770637532125316,0.9979242190357491,3.3539604184038687,4.374110475623856,10.550211447277373,17.599691548048995,3.1894277628488767
smcAC_order_1_ratio,0.9346231170849166,0.9485200073000664,0.9796912374042877,0.9759100095986304,0.9895117479638451,0.99405524122864,0.012447750326395866
smcAC_order_2,0.0009454739469245,0.0012835674358428,0.0079578223174943,0.01348675393982231,0.04450442077605067,0.0604634006922999,0.013956025198086155
smcAC_order_2_ratio,0.0001306882900884,0.00036748475768738,0.0023127088204197,0.0042855448752205086,0.015646123002264263,0.020412479062903,0.004937519272751891
smcAC_order_3,0.0003514215121364,0.00074055607227412,0.0043922996820169,0.0057896275186629115,0.013192116020599972,0.0272241456983078,0.004540096738894042
smcAC_order_3_ratio,7.850497335590555e-05,0.00024074606514122002,0.001219303218065,0.0016420903718218727,0.004299346844516616,0.0085863130077743,0.0013997313844800446
smcAC_order_4,0.0001896386934669,0.00033895267566617996,0.0010327171291383,0.0012298629803443738,0.0024747276837912,0.0057866286375949,0.0008112860178040197
smcAC_order_4_ratio,5.810882193269462e-05,0.00013817454048214,0.000264870423628,0.0003439110135393135,0.00071953003576152,0.0017900203635763,0.00023806852614739792
smcAC_order_5,0.0003087722185273,0.00050254347546402,0.0033344142139202,0.0048279030952143006,0.012512302278473112,0.0184376955791451,0.0042490347270342545
smcAC_order_5_ratio,4.220021521528541e-05,0.0003462776064997,0.0009507763314228,0.0010144376382001945,0.00196324174458556,0.0024889281712543,0.0005258959878604323
smcAC_order_6,0.0002202179443412,0.00031094671949752,0.0006400177353104,0.0009312112393467262,0.0019157022912025942,0.0105898570152059,0.0011408582424266079
smcAC_order_6_ratio,4.410954885407678e-05,9.261923415091426e-05,0.0002054817364052,0.00024224347918623372,0.00046894898732767975,0.0011595910588121,0.00016331826953536367
